"user_id","timestamp_start","day_of_week","hour_of_day","is_workday","scenario_label","active_minutes","afk_minutes","afk_count","app_switch_count","distinct_app_count","top_app_category","email_minutes","chat_minutes","browser_minutes","docs_minutes","ide_minutes","meeting_minutes","admin_minutes","focus_streak_minutes","work_context_entropy","work_reentry_count"
"user_001","2026-01-05T08:00:00Z","0","8","true","normal_work","9","1","1","6","3","browser","0","0","6","0","2","1","0","6","0.849","1"
"user_001","2026-01-05T08:10:00Z","0","8","true","admin_fragmented","10","0","2","9","4","chat","2","5","2","0","0","0","1","3","1.221","2"
"user_001","2026-01-05T08:20:00Z","0","8","true","meeting_heavy","10","0","1","4","2","meeting","0","0","2","0","0","8","0","4.1","0.5","2"
"user_001","2026-01-05T08:30:00Z","0","8","true","admin_fragmented","10","0","0","12","5","email","4","1","2","2","0","0","1","3.7","1.471","2"
"user_001","2026-01-05T08:40:00Z","0","8","true","deep_work","9","1","1","3","2","ide","0","0","3","0","6","0","0","8.1","0.637","0"
"user_001","2026-01-05T08:50:00Z","0","8","true","meeting_heavy","9","1","1","4","4","meeting","1","0","0","0","2","4","2","2.3","1.273","2"
"user_001","2026-01-05T09:00:00Z","0","9","true","meeting_heavy","9","1","0","7","3","meeting","0","0","0","1","0","7","1","2.8","0.6840000000000001","2"
"user_001","2026-01-05T09:10:00Z","0","9","true","admin_fragmented","7","3","1","9","5","admin","1","1","1","0","0","1","3","3.9","1.475","3"
"user_001","2026-01-05T09:20:00Z","0","9","true","procrastination","4","6","3","9","5","browser","0","1","1","0","0","1","1","2.1","1.386","0"
"user_001","2026-01-05T09:30:00Z","0","9","true","meeting_heavy","10","0","1","6","2","meeting","0","0","0","0","0","9","1","3.7","0.325","1"
"user_001","2026-01-05T09:40:00Z","0","9","true","normal_work","9","1","1","3","2","browser","0","0","8","0","0","0","1","4","0.349","2"
"user_001","2026-01-05T09:50:00Z","0","9","true","deep_work","8","2","0","2","1","ide","0","0","0","0","8","0","0","6.3","-0","1"
"user_001","2026-01-05T10:00:00Z","0","10","true","meeting_heavy","10","0","1","5","3","meeting","0","2","0","2","0","6","0","3","0.95","1"
"user_001","2026-01-05T10:10:00Z","0","10","true","meeting_heavy","10","0","1","6","4","meeting","1","1","0","0","0","7","1","2.1","0.9399999999999999","2"
"user_001","2026-01-05T10:20:00Z","0","10","true","admin_fragmented","10","0","0","10","6","browser","2","2","3","1","1","0","1","3.9","1.696","3"
"user_001","2026-01-05T10:30:00Z","0","10","true","deep_work","8","2","1","2","3","ide","1","0","0","0","6","1","0","6.1","0.736","1"
"user_001","2026-01-05T10:40:00Z","0","10","true","normal_work","8","2","1","6","3","ide","0","0","2","0","4","2","0","4.4","1.04","2"
"user_001","2026-01-05T10:50:00Z","0","10","true","normal_work","8","2","1","7","2","browser","0","0","6","2","0","0","0","4.5","0.5620000000000001","2"
"user_001","2026-01-05T11:00:00Z","0","11","true","meeting_heavy","9","1","1","2","2","meeting","0","0","0","0","0","8","1","4.5","0.349","1"
"user_001","2026-01-05T11:10:00Z","0","11","true","normal_work","9","1","0","8","4","ide","1","0","2","2","4","0","0","4.4","1.273","2"
